Elemento 1,Elemento 2,Elemento 3,Elemento 4,Elemento 5,Elemento 6,Elemento 7,Elemento 8,Elemento 9
[CH3:1][CH2:2][C@@:3]12[CH2:4][CH2:5][CH2:6][N:7]3[C@@H:8]1[c:9]1[c:10]([c:13]4[cH:14][cH:15][cH:16][cH:17][c:18]4[n:19]1[C@:20]([C:22](=[O:23])[O:24][CH3:25])([OH:26])[CH2:21]2)[CH2:11][CH2:12]3,0.2039,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1CC(=O)C2=O,0.0939,NCCc1c[nH]c2ccccc12,0.1058,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,,
[CH3:1][CH2:2][C@@:3]12[CH2:4][CH2:5][CH2:6][N:7]3[C@@H:8]1[c:9]1[c:10]([c:13]4[cH:14][cH:15][cH:16][cH:17][c:18]4[n:19]1[C@:20]([C:22](=[O:23])[O:24][CH3:25])([OH:26])[CH2:21]2)[CH2:11][CH2:12]3,0.1998,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2=O,0.0953,NCCc1c[nH]c2ccccc12,0.1058,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,,
[CH3:1][CH2:2][C@@:3]12[CH2:4][CH2:5][CH2:6][N:7]3[C@@H:8]1[c:9]1[c:10]([c:13]4[cH:14][cH:15][cH:16][cH:17][c:18]4[n:19]1[C@:20]([C:22](=[O:23])[O:24][CH3:25])([OH:26])[CH2:21]2)[CH2:11][CH2:12]3,0.2039,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1CC(=O)C2=O,0.0939,NCCc1c[nH]c2ccccc12,0.0755,C[C@H](N)C(=O)O,,
[CH3:1][CH2:2][C@@:3]12[CH2:4][CH2:5][CH2:6][N:7]3[C@@H:8]1[c:9]1[c:10]([c:13]4[cH:14][cH:15][cH:16][cH:17][c:18]4[n:19]1[C@:20]([C:22](=[O:23])[O:24][CH3:25])([OH:26])[CH2:21]2)[CH2:11][CH2:12]3,0.1998,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2=O,0.0953,NCCc1c[nH]c2ccccc12,0.0755,C[C@H](N)C(=O)O,,
[CH3:1][CH2:2][C@@:3]12[CH2:4][CH2:5][CH2:6][N:7]3[C@@H:8]1[c:9]1[c:10]([c:13]4[cH:14][cH:15][cH:16][cH:17][c:18]4[n:19]1[C@:20]([C:22](=[O:23])[O:24][CH3:25])([OH:26])[CH2:21]2)[CH2:11][CH2:12]3,0.2039,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1CC(=O)C2=O,0.0978,CCC1C=[N+]2CCc3c([nH]c4ccccc34)[C@@H]2CC1=O,0.1288,C/C=C1/CN2CCc3c([nH]c4ccccc34)[C@@H]2CC1=O,0.0892,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
[CH3:1][CH2:2][C@@:3]12[CH2:4][CH2:5][CH2:6][N:7]3[C@@H:8]1[c:9]1[c:10]([c:13]4[cH:14][cH:15][cH:16][cH:17][c:18]4[n:19]1[C@:20]([C:22](=[O:23])[O:24][CH3:25])([OH:26])[CH2:21]2)[CH2:11][CH2:12]3,0.1998,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2=O,0.0971,CCC1C=[N+]2CCc3c([nH]c4ccccc34)[C@@H]2CC1=O,0.1288,C/C=C1/CN2CCc3c([nH]c4ccccc34)[C@@H]2CC1=O,0.0892,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
[CH3:1][CH2:2][C@@:3]12[CH2:4][CH2:5][CH2:6][N:7]3[C@@H:8]1[c:9]1[c:10]([c:13]4[cH:14][cH:15][cH:16][cH:17][c:18]4[n:19]1[C@:20]([C:22](=[O:23])[O:24][CH3:25])([OH:26])[CH2:21]2)[CH2:11][CH2:12]3,0.2039,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1CC(=O)C2=O,0.0994,CCC1C=[N+]2CCc3c([nH]c4ccccc34)[C@@H]2C[C@@H]1O,0.1069,C=C1CN2CCc3c([nH]c4ccccc34)[C@@H]2C[C@@H]1O,0.0988,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
